relation_id,source_person_id,target_person_id,original_relation_type,standard_relation_type,relation_quality_score,relation_risk_level,context,evidence_ref,weight,source_ids,correction_reason,confidence,needs_manual_review,raw_relation_type,llm_suggested_relation_type,final_relation_type,llm_reason,llm_confidence,display_status
REL-00011,ZLH-001,ZLH-009,通信,通信,0,low,小雨。上午寄赵家璧信并所选小说两本。寄郑伯奇信并萧军稿三篇。得冶秋信。得韩［振］业信。得增田君信，即复。下午得《三人》及《ArtReview》各一本，共泉五元八角。夜蕴如及三弟来；雨。午后复萧军信。寄河清信。下午得伊罗生信。得《版芸術》四月号一本，五角。得徐懋庸信并稿。得萧军信。得郑伯奇信，即复。得紫佩信。晚内山书店送来《楽浪彩箧冢》一本，三十五元。得母亲信，二十三日发。得雾城信并木刻一幅。得郑伯奇信。夜有雷；晴。上午得三弟信，即复。亚平寄赠《都市之冬》一本。寄郑伯奇信,鲁迅日记 1933年9月28日; 鲁迅日记 1934年11月17日; 鲁迅日记 1935年2月21日; 鲁迅日记 1935年2月26日; 鲁迅日记 1935年3月26日; 鲁迅日记 1935年6月12日; 鲁迅日记 1935年6月14日; 鲁迅日记 1935年6月2日; 鲁迅日记 1935年7月2日; 鲁迅日记 1935年8月22日; 鲁迅日记 1935年9月1日; 鲁迅日记 1936年7月9日,4,SRC-0043;SRC-0044;SRC-0045;SRC-0046;SRC-0047;SRC-0048;SRC-0049;SRC-0050;SRC-0051;SRC-0052;SRC-0053;SRC-0041,结构性检测未发现需要自动改写的明确证据。,medium,no,通信,通信,通信,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00012,ZLH-001,ZLH-010,创作合作,创作合作,25,low,高望重的老作家如鲁迅、茅盾、翔秋日、蒋光慈、田汉、洪深；又发表鲁迅、茅盾、郁达夫、叶绍钧、陈望道、洪深、杜衡、田；眉、叶绍钓、陈望道、洪深、杜衡、鲁迅、田汉、丁玲等9位左,左联词典 第104页; 左联词典 第132页; 左联词典 第142页; 左联词典 第193页; 左联词典 第204页,5,SRC-0007;SRC-0054;SRC-0055;SRC-0010;SRC-0056,结构性检测未发现需要自动改写的明确证据。,medium,no,创作合作,创作合作,创作合作,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00013,ZLH-001,ZLH-011,交游,交游,25,low,"( 阿英 ) 、田汉等都是它的组织者“和积极筹备者,瞿秋日、茅盾、；对于推行新文字的意见》上签名,赞同使用、推广拉丁化新文字。这期间,得悉鲁迅先生患病；版部长。11月,鲁迅从上海来北平,他受北平左联常委会指派",左联词典 第102页; 左联词典 第104页; 左联词典 第140页; 左联词典 第167页; 左联词典 第238页,5,SRC-0011;SRC-0007;SRC-0057;SRC-0037;SRC-0058,结构性检测未发现需要自动改写的明确证据。,medium,no,交游,交游,交游,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00014,ZLH-001,ZLH-012,组织隶属,同属组织,85,critical,左联拥有一批贡献卓著、德高望重的老作家如鲁迅、茅盾、翔秋日、蒋光慈、田汉、洪深；改选。已矫担任过巨联执行委哗职务的人员有鲁迅、沈端先 ( 夏街3、冯乃超、钱枪邱、囚汉、郑伯奇、洪灵芸、周全平、蒋光慈、；沈端先、鲁迅、潘汉年、冯雪峰、郑住奇、蒋光慈、冯乃超、钱松,左联词典 第104页; 左联词典 第107页; 左联词典 第108页; 左联词典 第128页; 左联词典 第140页,5,SRC-0007;SRC-0012;SRC-0039;SRC-0014;SRC-0057,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,low,yes,组织隶属,同属组织,同属组织,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,0.40,formal
REL-00015,ZLH-001,ZLH-013,交游,交游,25,low,"馆举行这次会议的情况。出席人沈端先、鲁迅、潘汉年、冯雪峰、郑住奇、蒋光慈、冯乃超、钱松邮、标石、洪灵菲、华汉等,中；北景云里晋见鲁迅先生。不久,由潘梓年介绍加入革命互济会。同年10月,他和杨秀怡受华汉( 阳翰笙 ) 委托,携带一批左联",左联词典 第102页; 左联词典 第104页; 左联词典 第107页; 左联词典 第128页; 左联词典 第139页,5,SRC-0011;SRC-0007;SRC-0012;SRC-0014;SRC-0059,结构性检测未发现需要自动改写的明确证据。,medium,no,交游,交游,交游,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00016,ZLH-001,ZLH-014,交游,交游,25,low,左联的领导机构之一。心是由左联执行委员会选举产生的。1930年3月2日左联成立时公布的7位常委是鲁迅、冯乃超、；馆举行这次会议的情况。出席人沈端先、鲁迅、潘汉年、冯雪峰、郑住奇、蒋光慈、冯乃超、钱松,左联词典 第5页; 左联词典 第102页; 左联词典 第107页; 左联词典 第128页; 左联词典 第168页,5,SRC-0035;SRC-0011;SRC-0012;SRC-0014;SRC-0060,结构性检测未发现需要自动改写的明确证据。,medium,no,交游,交游,交游,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00017,ZLH-001,ZLH-015,交游,交游,0,low,晴。午后寄木村毅信。得内山嘉吉信，言于二月二十二日举一子。得杨杏佛信并照片二枚。得静农信并《初期白话诗稿》五本，半农所赠。得季巿信。得黎烈文信。同内山夫人往东照里看屋。下午理发。买景宋椠《三世相》一本。达夫来，未遇。夜寄母亲信。复静农信。…,鲁迅日记 1933年3月1日,2,SRC-0061,结构性检测未发现需要自动改写的明确证据。,medium,no,交游,交游,交游,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00018,ZLH-001,ZLH-015,组织隶属,交往,75,high,晴。上午往福民医院付入院泉七十，又女工泉廿，杂工泉十。下午同三弟、蕴如往福民医院迓广平及海婴回寓。金溟若来，不见。达夫来，赠以佳酿酒一小瓶。晚夏康农来；星期。昙。上午潘垂统来，不见。白薇、杨骚来。下午同广平访梦渔未遇。晚孙席珍来，不见。达夫来；雨雪，午霁。得靖华信，一月九日发。晚得诗荃信。达夫来访。得费慎祥信，并见赠《现代史料》（第一集）一本,鲁迅日记 1928年12月28日; 鲁迅日记 1929年10月10日; 鲁迅日记 1929年11月26日; 鲁迅日记 1929年1月24日; 鲁迅日记 1929年1月30日; 鲁迅日记 1929年1月31日; 鲁迅日记 1929年2月8日; 鲁迅日记 1929年4月28日; 鲁迅日记 1929年8月27日; 鲁迅日记 1929年9月25日; 鲁迅日记 1930年1月26日; 鲁迅日记 1930年1月5日; 鲁迅日记 1930年6月13日; 鲁迅日记 1931年8月31日; 鲁迅日记 1932年2月25日; 鲁迅日记 1932年3月3日; 鲁迅日记 1932年3月7日; 鲁迅日记 1932年7月12日; 鲁迅日记 1933年2月8日; 鲁迅日记 1933年2月9日; 鲁迅日记 1933年4月3日; 鲁迅日记 1933年5月17日; 鲁迅日记 1934年5月19日,1,SRC-0062;SRC-0063;SRC-0064;SRC-0065;SRC-0066;SRC-0067;SRC-0068;SRC-0069;SRC-0070;SRC-0071;SRC-0072;SRC-0073;SRC-0074;SRC-0075;SRC-0076;SRC-0077;SRC-0078;SRC-0079;SRC-0080;SRC-0081;SRC-0082;SRC-0002;SRC-0083,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；上下文直接出现来访/会见/共同行动类动作,medium,no,组织隶属,交往,交往,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；上下文直接出现来访/会见/共同行动类动作,0.70,formal
REL-00019,ZLH-001,ZLH-015,通信,通信,0,low,晴。上午复霁野信。寄达夫信。午得友松信。夜同三弟往街买青森频果，在店头遇山上正义，强赠一筐，携之而归；晴。晨复达夫信。寄钦文信。上午得叶永蓁信。友松来，即导之往福民医院诊察。视广平；晴。上午得汤爱理信。得汪馥泉信，即复。下午修甫、友松来，托其寄王余杞信并汇稿费十元。寄达夫信。晚杨骚、凌璧如来。夜理发。寄友松信。寄小峰信,鲁迅日记 1928年11月29日; 鲁迅日记 1928年12月12日; 鲁迅日记 1928年12月13日; 鲁迅日记 1929年10月21日; 鲁迅日记 1929年10月2日; 鲁迅日记 1929年10月3日; 鲁迅日记 1929年11月13日; 鲁迅日记 1929年11月15日; 鲁迅日记 1929年2月6日; 鲁迅日记 1929年3月29日; 鲁迅日记 1929年3月9日; 鲁迅日记 1929年4月10日; 鲁迅日记 1929年7月6日; 鲁迅日记 1929年8月17日; 鲁迅日记 1929年8月18日; 鲁迅日记 1929年8月20日 等4条; 鲁迅日记 1929年9月11日; 鲁迅日记 1929年9月9日; 鲁迅日记 1930年4月21日; 鲁迅日记 1930年9月30日; 鲁迅日记 1932年3月15日; 鲁迅日记 1932年7月16日; 鲁迅日记 1932年7月18日; 鲁迅日记 1933年1月25日; 鲁迅日记 1933年1月7日; 鲁迅日记 1933年2月15日; 鲁迅日记 1933年5月18日; 鲁迅日记 1933年9月29日; 鲁迅日记 1934年7月14日; 鲁迅日记 1934年9月10日; 鲁迅日记 1934年9月12日; 鲁迅日记 1935年3月21日,4,SRC-0084;SRC-0085;SRC-0086;SRC-0087;SRC-0088;SRC-0089;SRC-0090;SRC-0091;SRC-0092;SRC-0093;SRC-0094;SRC-0095;SRC-0096;SRC-0097;SRC-0098;SRC-0099;SRC-0100;SRC-0101;SRC-0102;SRC-0103;SRC-0104;SRC-0105;SRC-0106;SRC-0107;SRC-0108;SRC-0109;SRC-0110;SRC-0111;SRC-0112;SRC-0113;SRC-0114;SRC-0115,结构性检测未发现需要自动改写的明确证据。,medium,no,通信,通信,通信,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00020,ZLH-001,ZLH-016,组织隶属,交往,75,high,晴。上午广平来。得母亲信，二十一日发，即复。答矛尘信。午后侍桁、柔石来，假柔石泉卅。下午同柔石赴北四川路一带看屋，不得。复史沫特列女士信。晚三弟及广平来。柔石、雪峰来；昙。午前广平来。得母亲信，三日发。下午雪峰来并交为神州国光社编译《现代文艺丛书》合同一纸。柔石来。晚得小峰信，并志仁、林林稿费共卅二元。以海婴照片一枚寄母亲。三弟来，少顷广平来，遂同往东亚食堂晚膳，又少顷蕴如导明之来，即邀之同饭。夜侍桁来；晴。上午广平来。得张友松信。午后复冰莹信。柔石来。付新屋顶费三百。晚雪峰来。内山君邀往新半斋夜饭，同席十人,鲁迅日记 1929年8月29日; 鲁迅日记 1930年3月28日; 鲁迅日记 1930年3月30日; 鲁迅日记 1930年4月11日; 鲁迅日记 1930年4月18日; 鲁迅日记 1930年4月9日; 鲁迅日记 1930年6月10日; 鲁迅日记 1930年6月17日; 鲁迅日记 1930年6月2日; 鲁迅日记 1930年6月7日,1,SRC-0116;SRC-0023;SRC-0117;SRC-0118;SRC-0119;SRC-0120;SRC-0121;SRC-0122;SRC-0028;SRC-0123,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；上下文直接出现来访/会见/共同行动类动作,medium,no,组织隶属,交往,交往,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；上下文直接出现来访/会见/共同行动类动作,0.70,formal
REL-00021,ZLH-001,ZLH-017,交游,交游,25,low,"“森、柔石、胡也频、冯铿、殴夫等5位左联作家,号召人民起来反对敌人的白色恐怖。为国民党屠杀同志致各国；和胡也频同时加入中国左翼作家联盟,积极投身文艺大众化工；16日,和鲁迅、楞石、冯雪峰、沈端先、华汉 ( 阳翰笙 ) 等12人举行“新文学运动者的讨论会“总结两年来革命文学运动的经验教训,确定今后方针任务,会",左联词典 第104页; 左联词典 第107页; 左联词典 第118页; 左联词典 第131页; 左联词典 第168页,5,SRC-0007;SRC-0012;SRC-0124;SRC-0008;SRC-0060,结构性检测未发现需要自动改写的明确证据。,medium,no,交游,交游,交游,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00022,ZLH-001,ZLH-018,交游,交游,25,low,"柔石、冯铿带领他和杨秀总去闸北景云里晋见鲁迅先生。不久,由潘梓年介绍加入革命互济会。同年10月,他和杨秀怡受华汉",左联词典 第104页; 左联词典 第118页; 左联词典 第131页; 左联词典 第139页; 左联词典 第175页,5,SRC-0007;SRC-0124;SRC-0008;SRC-0059;SRC-0125,结构性检测未发现需要自动改写的明确证据。,medium,no,交游,交游,交游,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00023,ZLH-001,ZLH-019,交游,交游,25,low,"正传 )》,卷首有李伟森、宗晖、冯铿、殷夫4位烈士的肖像。1933年2月7日是李伟森等5位左翼作家被害2周年,鲁迅作；化总同盟常委、宣传部长,分工货货联系十余所大学的文艺社团,常与周立波、殷夫、任钧等盟员去复旦大学等校开展活动,鲁迅、蔡和森等都被他请来作过",左联词典 第131页; 左联词典 第175页; 左联词典 第192页; 左联词典 第212页; 左联词典 第239页,5,SRC-0008;SRC-0125;SRC-0126;SRC-0127;SRC-0128,结构性检测未发现需要自动改写的明确证据。,medium,no,交游,交游,交游,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00024,ZLH-001,ZLH-020,交游,交游,25,low,"这一文件有英、日、俄三种文字译本。.英译文是由鲁迅和史沫特莱商讨后,由茅眉和史沫特荷共同译成,载同年6月美国；会后追记了鲁迅在大会上的讲演,经鲁迅本人阅审后题名《对于左翼作家联盟的意见》、载；文艺家协会,拥护文艺界的抗日统一战线.在《我们对推行新文字的意见》上签名,赞同使用、推广拉丁化新文字。同年10月19日鲁迅逝世,他在《生活星期",左联词典 第118页; 左联词典 第131页; 左联词典 第171页; 左联词典 第192页; 左联词典 第200页,5,SRC-0124;SRC-0008;SRC-0009;SRC-0126;SRC-0129,结构性检测未发现需要自动改写的明确证据。,medium,no,交游,交游,交游,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00025,ZLH-001,ZLH-021,通信,通信,0,low,晴，热。午后得丁玲信。下午须藤先生来诊并注射。夜蕴如及三弟来,鲁迅日记 1936年7月18日,1,SRC-0130,结构性检测未发现需要自动改写的明确证据。,medium,no,通信,通信,通信,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00026,ZLH-001,ZLH-022,亲属关系,亲属关系,70,high,"闭年10月19日鲁迅逝世,他和草明、张天翼、周文.胡风、；上海向鲁迅提出丁玲、茅盾、老舍、张天翼等26位中国“新现",左联词典 第104页; 左联词典 第145页; 左联词典 第157页; 左联词典 第169页; 左联词典 第198页,5,SRC-0007;SRC-0131;SRC-0132;SRC-0133;SRC-0134,结构性检测未发现需要自动改写的明确证据。,medium,no,亲属关系,亲属关系,亲属关系,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00027,ZLH-001,ZLH-023,交游,交游,25,low,奎光、汪金丁、鲁迅、苟盾、周扬、胡风、任钧、沙汀、杨骚叶紫、何家槐、艾芜、欧阳山、吴奚如等也参加过委员会。马克思主义理论研究委员会,左联词典 第104页; 左联词典 第109页; 左联词典 第162页; 左联词典 第190页; 左联词典 第247页,5,SRC-0007;SRC-0135;SRC-0136;SRC-0137;SRC-0138,结构性检测未发现需要自动改写的明确证据。,medium,no,交游,交游,交游,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00028,ZLH-001,ZLH-024,师生关系,待核验,90,critical,"一些情况矣成员有沈起予、金奎光、汪金丁、鲁迅、苟盾、周扬、胡风、任钧、沙汀、杨骚叶紫、何家槐、艾芜、欧阳山、；迅、瞿秋白、茅盾、冯雪峰等,牢记鲁迅“我们应当造出大群的新的战士“的教导,努力发现和培养了一批文学新人,如艾芜、；店,1931年秋和同学汤道耕 ( 艾芜 ) 相逼,共同从事小说创作。1931年11月29日和艾芜联名给鲁迅写信,请教关于小说题材等问题,受到鲁迅的亲切教诲.",左联词典 第104页; 左联词典 第109页; 左联词典 第131页; 左联词典 第155页; 左联词典 第227页,5,SRC-0007;SRC-0135;SRC-0008;SRC-0139;SRC-0140,人物-人物关系使用强证据型关系标签；证据更像长名单并列共现；缺少师生关键词；证据不足以支撑原关系类型,low,yes,师生关系,师生,师生,鲁迅曾明确提出培养文学新人，艾芜被提及为其培养对象之一，且证据文本多次提到鲁迅对艾芜的指导作用，支持师生关系。,0.95,formal
REL-00029,ZLH-001,ZLH-025,交游,交游,25,low,奎光、汪金丁、鲁迅、苟盾、周扬、胡风、任钧、沙汀、杨骚叶紫、何家槐、艾芜、欧阳山、吴奚如等也参加过委员会。,左联词典 第104页; 左联词典 第107页; 左联词典 第108页; 左联词典 第109页; 左联词典 第131页,5,SRC-0007;SRC-0012;SRC-0039;SRC-0135;SRC-0008,结构性检测未发现需要自动改写的明确证据。,medium,no,交游,交游,交游,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00030,ZLH-001,ZLH-026,交游,交游,25,low,奎光、汪金丁、鲁迅、苟盾、周扬、胡风、任钧、沙汀、杨骚叶紫、何家槐、艾芜、欧阳山、吴奚如等也参加过委员会。,左联词典 第104页; 左联词典 第108页; 左联词典 第109页; 左联词典 第114页; 左联词典 第142页,5,SRC-0007;SRC-0039;SRC-0135;SRC-0141;SRC-0055,结构性检测未发现需要自动改写的明确证据。,medium,no,交游,交游,交游,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00031,ZLH-001,ZLH-027,交游,交游,25,low,"萧红、萧军等15位青年作家“以轭形花阎一袭敬献鲁迅先；于推行新文字的意见》上签名,赞同应用、推广拉丁化新文字。同年10月30日和萧军、沙汀等18位作家举行第二次小说家座谈会,研究学习鲁迅及其小说；萧军、梅志等16位左翼青年作家以“钜形花圈一袭敬献鲁迅先",左联词典 第145页; 左联词典 第156页; 左联词典 第158页; 左联词典 第219页; 左联词典 第228页,5,SRC-0131;SRC-0142;SRC-0143;SRC-0144;SRC-0145,结构性检测未发现需要自动改写的明确证据。,medium,no,交游,交游,交游,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00032,ZLH-001,ZLH-028,交游,交游,25,low,"界的抗日统一战线政策。同年10月19日鲁迅逝世,他和草明、张天翼、周文、路丁、胡风、欧阳山、聂绀弩、姚克、萧红、；路丁、胡风、奚如、聂绀弩、姚克、萧红、萧军、周颖等16位青年作家以“轰形花圈一袭敬献鲁迅先生“,表示哀悼,同时参；送到预先安排的安全住处.同年10月19日鲁迅逝世,她和张天翼、胡风、萧红、萧军、周文、",左联词典 第145页; 左联词典 第219页; 左联词典 第262页; 左联词典 第263页; 左联词典 第278页,5,SRC-0131;SRC-0144;SRC-0146;SRC-0147;SRC-0148,结构性检测未发现需要自动改写的明确证据。,medium,no,交游,交游,交游,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00033,ZLH-001,ZLH-029,交游,交游,25,low,"献了自己的佳作,如鲁迅、瞿秋白、徐懋庸、聂绀弩、廖沫沙的；反战会议在上海召开,欢迎巴比塞代表团来华。1934年经作家聂绀弩引荐任《中华日报》副刊《动向》助理编辑。从本年起,与鲁迅先生通信,先生指导他的创；界的抗日统一战线政策。同年10月19日鲁迅逝世,他和草明、张天翼、周文、路丁、胡风、欧阳山、聂绀弩、姚克、萧红、",左联词典 第104页; 左联词典 第145页; 左联词典 第162页; 左联词典 第219页; 左联词典 第228页,5,SRC-0007;SRC-0131;SRC-0136;SRC-0144;SRC-0145,结构性检测未发现需要自动改写的明确证据。,medium,no,交游,交游,交游,结构性检测未发现需要自动改写的明确证据。,0.70,formal
